stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding,tts_stop_name
4230347,,,Main @ Lindley Park,,45.6793037683197,-111.024726696322,,,0,,America/Denver,,,0,
4230348,,,Main @ Jackpot Casino,,45.679485541561,-111.024130091375,,,0,,America/Denver,,,0,
4230349,,,Huffine & Boardwalk,,45.6713489398731,-111.1011692442,,,0,,America/Denver,,,0,
4230350,,,Ferguson & Granite,,45.6747779964572,-111.093686878332,,,0,,America/Denver,,,0,
4230351,,,Ferguson & Ravalli,,45.6762451483865,-111.093608974798,,,0,,America/Denver,,,0,
4230352,,,Ferguson & Toole,,45.6837794976761,-111.093492284254,,,0,,America/Denver,,,0,
4230354,,,Frontage Rd @ Cherry River,,45.7108472960037,-111.051573306136,,,0,,America/Denver,,,0,
782331,,,11th & Lincoln,,45.6637705019575,-111.051992296793,,,0,,America/Denver,,,0,
782334,,,19th & Babcock (Loaf & Jug),,45.6785421,-111.0632273,,,0,,America/Denver,,,0,
782335,,,19th & Baxter North (Town Pump),,45.7008451634468,-111.065290019386,,,0,,America/Denver,,,0,
782337,,,19th & College,,45.670745,-111.062455,,,0,,America/Denver,,,0,
782339,,,19th & Koch,,45.675017,-111.062339,,,0,,America/Denver,,,0,
782342,,,Tschache & 19th (Northbound),,45.6967057124194,-111.061757856393,,,0,,America/Denver,,,0,
782344,,,27th & Catron,,45.7117045693931,-111.073879052534,,,0,,America/Denver,,,0,
782347,,,6th & Garfield North,,45.6669442701878,-111.045352471853,,,0,,America/Denver,,,0,
782348,,,6th & Garfield South,,45.6673777,-111.0454744,,,0,,America/Denver,,,0,
782350,,,7th @ M View Plaza,,45.6889409952547,-111.04607452336,,,0,,America/Denver,,,0,
782351,,,8th & Babcock,,45.6784513299198,-111.048104095581,,,0,,America/Denver,,,0,
782352,,,8th & Harrison North,,45.6703106452952,-111.047917486479,,,0,,America/Denver,,,0,
